ID,#triplePatterns,#results,time,memory,#quins,avgQuin_Cluster,avgQuin_Bucket,#plugTriples,LinkedMDB#Requests,LinkedMDB#SolvedRequests,LinkedMDB#records,DBpedia#Requests,DBpedia#SolvedRequests,DBpedia#records,Yago#Requests,Yago#SolvedRequests,Yago#records,#SUM_Requests,#SUM_SolvedRequests,#SUM_records  
q1,1,3,0.408,73.14827,3,1,1,0,10,0,0,20,1,1,20,2,2,50,3,3
q2,1,10,0.54,75.27429,11,1.1,1.1,0,0,0,0,30,1,6,10,2,5,40,3,11
q3,2,2,0.411,76.19956,6,1.5,3,0,10,0,0,14,2,2,14,2,2,38,4,4
q4,2,5,0.639,71.95048,16,1.6,3.2,0,0,0,0,36,4,8,12,2,2,48,6,10
q5,1,6,1.605,95.95311,6,1,1,0,0,0,0,10,2,6,0,0,0,10,2,6
q6,4,12,1.599,81.93993,88,1.8333334,7.3333335,0,0,0,0,124,23,77,104,20,71,228,43,148
q7,2,2,0.259,71.14757,6,1.5,3,0,0,0,0,10,0,0,14,6,6,24,6,6
q8,1,7,0.268,70.110115,8,1.1428572,1.1428572,0,16,1,1,10,1,1,10,2,6,36,4,8
q9,1,7,0.329,69.951675,7,1,1,0,0,0,0,20,2,4,10,3,4,30,5,8
q10,2,0,0.515,69.95707,0,0,NaN,0,0,0,0,40,0,0,0,0,0,40,0,0
q11,1,1,1.075,85.261665,1,1,1,0,0,0,0,30,1,1,0,0,0,30,1,1
q12,2,41,1.229,76.88613,192,2.3414633,4.6829267,0,70,32,75,76,34,70,64,28,55,210,94,200
q13,2,1,0.308,71.19639,4,2,4,0,10,5,31,10,0,0,12,4,10,32,9,41
q14,2,3,0.406,70.333374,12,2,4,0,10,3,10,24,3,4,10,1,2,44,7,16
q15,2,9,55.785,745.0235,23,1.2777778,2.5555556,0,0,0,0,210,10,1757,30,5,990,240,15,2747
q16,3,24,1.02,71.462204,101,1.4027778,4.2083335,0,20,0,0,40,12,20,78,35,70,138,47,90
q17,3,52,2.648,70.664696,160,1.0256411,3.0769231,0,0,0,0,238,63,126,0,0,0,238,63,126
q18,2,2,2.609,106.56076,10,2.5,5,0,30,5,67,20,2,66,30,3,49,80,10,182
q19,2,9,0.445,70.51697,18,1,2,0,100,10,30,10,0,0,10,0,0,120,10,30
q20,2,469,1.646,76.191765,1987,2.118337,4.236674,0,94,44,421,98,45,344,72,32,220,264,121,985
q21,2,278,1.996,111.93191,866,1.557554,3.115108,0,26,11,253,16,4,85,20,6,76,62,21,414
q22,2,43,5.338,119.66522,87,1.0116279,2.0232558,0,0,0,0,10,0,0,450,47,827,460,47,827
q23,3,28,1.278,99.51129,159,1.8928572,5.678571,0,46,7,27,24,4,23,22,3,11,92,14,61
q24,2,46,2.449,110.127266,185,2.0108695,4.021739,0,10,1,19,70,31,54,24,9,22,104,41,95
q25,2,14,0.555,80.26538,56,2,4,0,0,0,0,12,4,7,14,8,17,26,12,24
q26,2,4,0.875,78.5202,11,1.375,2.75,0,10,3,8,60,6,34,10,2,29,80,11,71
q27,3,110,4.087,73.54321,803,2.4333334,7.3,0,224,72,154,330,81,164,94,43,70,648,196,388
q28,2,10,0.366,72.61747,20,1,2,0,0,0,0,18,3,11,0,0,0,18,3,11
q29,2,8,0.337,71.01409,41,2.5625,5.125,0,0,0,0,18,6,12,12,5,9,30,11,21
q30,1,44,0.458,77.43144,91,2.0681818,2.0681818,0,10,1,28,10,1,30,10,2,33,30,4,91
