ID,#triplePatterns,#results,time,memory,#quins,avgQuin_Cluster,avgQuin_Bucket,#plugTriples,LinkedMDB#Requests,LinkedMDB#SolvedRequests,LinkedMDB#records,DBpedia#Requests,DBpedia#SolvedRequests,DBpedia#records,Yago#Requests,Yago#SolvedRequests,Yago#records,#SUM_Requests,#SUM_SolvedRequests,#SUM_records  
q1,1,5,0.609,73.302216,5,1,1,0,20,0,0,40,1,1,40,4,4,100,5,5
q2,1,11,0.819,75.4112,12,1.0909091,1.0909091,0,0,0,0,60,1,6,20,3,6,80,4,12
q3,2,2,0.516,76.31516,6,1.5,3,0,20,0,0,24,2,2,24,2,2,68,4,4
q4,2,5,0.923,71.922455,16,1.6,3.2,2,0,0,0,66,4,8,22,2,2,88,6,10
q5,1,6,1.7,95.87316,6,1,1,0,0,0,0,20,2,6,0,0,0,20,2,6
q6,4,12,60.282,468.31512,88,1.8333334,7.3333335,0,0,0,0,10774,23,77,10744,21,194,21518,44,271
q7,2,3,0.377,70.389206,9,1.5,3,0,0,0,0,20,0,0,26,9,9,46,9,9
q8,1,7,0.381,70.19985,9,1.2857143,1.2857143,0,16,1,1,20,2,2,20,2,6,56,5,9
q9,1,7,0.54,70.040726,7,1,1,0,0,0,0,40,2,4,12,3,4,52,5,8
q10,2,11,1.167,70.14355,22,1,2,0,0,0,0,104,13,15,0,0,0,104,13,15
q11,1,2,1.344,85.36816,2,1,1,0,0,0,0,60,2,2,0,0,0,60,2,2
q12,2,101,5.453,117.790504,328,1.6237624,3.2475247,16,280,84,158,246,40,76,234,34,67,760,158,301
q13,2,21,11.274,194.64053,79,1.8809524,3.7619047,36,20,9,38,382,12,20,382,33,52,784,54,110
q14,2,8,2.583,87.206924,24,1.5,3,6,10,3,10,164,6,8,80,2,3,254,11,21
q15,2,28,741.602,1490.4202,71,1.2678572,2.5357144,2676,0,0,0,267000,16,1763,132960,21,1006,399960,37,2769
q16,3,43,10.499,146.9196,160,1.2403101,3.7209303,8,234,1,1,458,20,31,500,54,89,1192,75,121
q17,3,55,3.9,71.57574,169,1.0242424,3.0727272,2,4,0,0,352,64,127,94,3,3,450,67,130
q18,2,2,42.762,447.96558,10,2.5,5,179,8360,9,76,8810,2,66,8540,3,49,25710,14,191
q19,2,9,3.725,109.69623,27,1.5,3,17,1020,10,30,870,0,0,950,5,14,2840,15,44
q20,2,476,2.034,77.555885,2001,2.1018908,4.2037816,1,114,47,429,118,45,344,92,32,220,324,124,993
q21,2,278,2.162,111.81102,866,1.557554,3.115108,0,36,11,253,26,4,85,30,6,76,92,21,414
q22,2,63,322.941,940.4847,151,1.1984127,2.3968253,918,0,0,0,46050,17,150,46680,66,1093,92730,83,1243
q23,3,39,2.971,105.91578,192,1.6410257,4.923077,0,438,10,40,394,4,23,392,4,14,1224,18,77
q24,2,136,7.045,131.70543,397,1.4595588,2.9191177,9,20,1,19,380,93,144,124,23,38,524,117,201
q25,2,14,0.668,80.22061,56,2,4,0,0,0,0,22,4,7,24,8,17,46,12,24
q26,2,4,9.445,183.52615,11,1.375,2.75,60,20,4,9,3060,6,34,2960,3,30,6040,13,73
q27,3,140,6.908,107.77903,899,2.1404762,6.4214287,4,368,96,184,470,82,165,158,56,88,996,234,437
q28,2,10,0.451,81.78923,20,1,2,0,0,0,0,28,3,11,0,0,0,28,3,11
q29,2,10,2.684,116.44449,47,2.35,4.7,1,0,0,0,48,7,14,32,5,9,80,12,23
q30,1,49,0.653,77.54247,106,2.1632652,2.1632652,0,20,3,43,20,1,30,20,2,33,60,6,106
