ID,#triplePatterns,#results,time,memory,#quins,avgQuin_Cluster,avgQuin_Bucket,#plugTriples,LinkedMDB#Requests,LinkedMDB#SolvedRequests,LinkedMDB#records,DBpedia#Requests,DBpedia#SolvedRequests,DBpedia#records,Yago#Requests,Yago#SolvedRequests,Yago#records,#SUM_Requests,#SUM_SolvedRequests,#SUM_records  
q1,1,6,0.842,73.33491,6,1,1,0,30,0,0,60,1,1,60,5,5,150,6,6
q2,1,11,1.189,75.40156,12,1.0909091,1.0909091,0,0,0,0,90,1,6,30,3,6,120,4,12
q3,2,2,0.672,76.28945,6,1.5,3,0,30,0,0,34,2,2,34,2,2,98,4,4
q4,2,5,1.295,72.07222,16,1.6,3.2,0,0,0,0,96,4,8,32,2,2,128,6,10
q5,1,6,1.809,95.9775,6,1,1,0,0,0,0,30,2,6,0,0,0,30,2,6
q6,4,12,67.266,657.7499,88,1.8333334,7.3333335,0,0,0,0,284,23,77,264,24,2543,548,47,2620
q7,2,3,0.475,71.20283,9,1.5,3,0,0,0,0,30,0,0,36,9,9,66,9,9
q8,1,8,0.477,70.16395,10,1.25,1.25,0,16,1,1,30,3,3,30,2,6,76,6,10
q9,1,7,0.727,69.99948,7,1,1,0,0,0,0,60,2,4,12,3,4,72,5,8
q10,2,11,1.532,70.13557,22,1,2,0,0,0,0,144,13,15,0,0,0,144,13,15
q11,1,3,1.635,85.34764,3,1,1,0,0,0,0,90,3,3,0,0,0,90,3,3
q12,2,73,1.5,77.905846,258,1.7671233,3.5342467,0,154,68,143,96,34,70,84,28,55,334,130,268
q13,2,1,0.671,71.53474,7,3.5,7,0,30,13,48,32,3,8,32,4,10,94,20,66
q14,2,4,0.822,70.42849,14,1.75,3.5,0,10,3,10,64,3,4,32,3,6,106,9,20
q15,2,9,95.98,881.8244,23,1.2777778,2.5555556,0,0,0,0,630,11,1758,90,6,995,720,17,2753
q16,3,24,1.236,71.56031,101,1.4027778,4.2083335,0,24,0,0,60,12,20,98,37,72,182,49,92
q17,3,52,2.826,70.678215,160,1.0256411,3.0769231,0,0,0,0,258,63,126,0,0,0,258,63,126
q18,2,2,4.703,114.23115,10,2.5,5,0,90,12,82,60,2,66,90,3,49,240,17,197
q19,2,9,1.021,72.47794,27,1.5,3,0,280,10,30,30,0,0,150,6,16,460,16,46
q20,2,612,1.957,77.69915,2273,1.8570261,3.7140522,0,186,82,605,118,45,344,92,32,220,396,159,1169
q21,2,278,2.209,112.0067,866,1.557554,3.115108,0,46,11,253,36,4,85,40,6,76,122,21,414
q22,2,46,20.558,228.99469,114,1.2391304,2.4782608,0,0,0,0,330,11,144,1410,57,1204,1740,68,1348
q23,3,28,1.646,100.38867,159,1.8928572,5.678571,0,126,8,28,64,4,23,62,4,14,252,16,65
q24,2,67,2.967,110.579056,271,2.022388,4.044776,0,30,4,39,120,47,82,44,9,22,194,60,143
q25,2,14,0.773,80.31574,56,2,4,0,0,0,0,32,4,7,34,8,17,66,12,24
q26,2,4,2.188,82.43811,11,1.375,2.75,0,30,8,16,180,7,36,30,5,55,240,20,107
q27,3,121,4.786,77.11606,838,2.3085399,6.9256196,0,430,160,344,350,81,164,114,43,70,894,284,578
q28,2,10,0.591,72.631294,20,1,2,0,0,0,0,38,3,11,0,0,0,38,3,11
q29,2,8,0.557,71.05927,41,2.5625,5.125,0,0,0,0,38,6,12,32,5,9,70,11,21
q30,1,53,0.763,77.84995,110,2.0754716,2.0754716,0,30,3,43,30,1,30,30,3,37,90,7,110
