ID,#triplePatterns,#results,time,memory,#quins,avgQuin_Cluster,avgQuin_Bucket,#plugTriples,LinkedMDB#Requests,LinkedMDB#SolvedRequests,LinkedMDB#records,DBpedia#Requests,DBpedia#SolvedRequests,DBpedia#records,Yago#Requests,Yago#SolvedRequests,Yago#records,#SUM_Requests,#SUM_SolvedRequests,#SUM_records  
q1,1,10,1.259,73.518936,10,1,1,0,50,1,1,100,1,1,100,8,8,250,10,10
q2,1,11,1.786,75.55103,12,1.0909091,1.0909091,0,0,0,0,150,1,6,50,3,6,200,4,12
q3,2,2,0.877,76.40747,6,1.5,3,0,50,0,0,54,2,2,54,2,2,158,4,4
q4,2,5,1.928,72.2218,16,1.6,3.2,0,0,0,0,156,4,8,52,2,2,208,6,10
q5,1,6,2.052,96.02978,6,1,1,0,0,0,0,50,2,6,0,0,0,50,2,6
q6,4,12,87.834,638.27625,88,1.8333334,7.3333335,0,0,0,0,444,24,79,424,24,2543,868,48,2622
q7,2,6,0.72,71.31092,16,1.3333334,2.6666667,0,0,0,0,52,2,4,58,12,12,110,14,16
q8,1,13,0.713,70.27628,15,1.1538461,1.1538461,0,16,1,1,50,4,5,50,5,9,116,10,15
q9,1,8,1.109,70.08719,8,1,1,0,0,0,0,100,3,6,12,3,4,112,6,10
q10,2,11,2.293,70.28626,22,1,2,0,0,0,0,224,13,15,0,0,0,224,13,15
q11,1,3,2.208,85.46688,3,1,1,0,0,0,0,150,3,3,0,0,0,150,3,3
q12,2,75,1.781,78.42352,262,1.7466667,3.4933333,0,178,73,158,116,34,70,104,28,55,398,135,283
q13,2,7,1.075,72.282036,28,2,4,0,50,21,73,58,10,32,52,4,10,160,35,115
q14,2,4,1.166,70.52316,14,1.75,3.5,0,10,3,10,104,3,4,40,3,6,154,9,20
q15,2,9,135.06,743.9229,23,1.2777778,2.5555556,0,0,0,0,1050,11,1758,150,6,995,1200,17,2753
q16,3,24,1.452,71.68097,101,1.4027778,4.2083335,0,24,0,0,80,12,20,120,40,75,224,52,95
q17,3,52,3.021,70.72737,160,1.0256411,3.0769231,0,0,0,0,278,63,126,0,0,0,278,63,126
q18,2,2,7.483,123.00477,10,2.5,5,0,150,20,101,100,3,72,150,4,52,400,27,225
q19,2,9,1.794,75.77639,35,1.9444444,3.8888888,0,460,10,30,200,4,13,246,6,16,906,20,59
q20,2,612,2.255,78.116356,2273,1.8570261,3.7140522,0,206,84,607,138,45,344,112,32,220,456,161,1171
q21,2,278,2.43,112.12657,866,1.557554,3.115108,0,66,11,253,56,4,85,60,6,76,182,21,414
q22,2,46,30.019,269.91003,114,1.2391304,2.4782608,0,0,0,0,550,12,147,2350,58,1217,2900,70,1364
q23,3,28,2.162,101.6215,159,1.8928572,5.678571,0,206,11,32,104,5,26,102,4,14,412,20,72
q24,2,67,3.509,111.29026,271,2.022388,4.044776,0,50,14,76,140,48,84,64,9,22,254,71,182
q25,2,14,0.983,80.397095,56,2,4,0,0,0,0,52,4,7,54,8,17,106,12,24
q26,2,4,3.462,86.024086,11,1.375,2.75,0,50,9,19,300,7,36,50,7,60,400,23,115
q27,3,165,5.217,78.981346,971,1.9616162,5.8848486,0,596,215,452,370,81,164,134,43,70,1100,339,686
q28,2,10,0.755,72.68081,20,1,2,0,0,0,0,58,3,11,0,0,0,58,3,11
q29,2,8,0.761,71.14824,41,2.5625,5.125,0,0,0,0,58,6,12,52,7,11,110,13,23
q30,1,58,0.96,78.18673,119,2.0517242,2.0517242,0,50,6,51,50,2,31,50,3,37,150,11,119
