ID,#triplePatterns,#results,time,memory,#quins,avgQuin_Cluster,avgQuin_Bucket,#plugTriples,LinkedMDB#Requests,LinkedMDB#SolvedRequests,LinkedMDB#records,DBpedia#Requests,DBpedia#SolvedRequests,DBpedia#records,Yago#Requests,Yago#SolvedRequests,Yago#records,#SUM_Requests,#SUM_SolvedRequests,#SUM_records  
q1,1,6,0.952,70.9002,6,1,1,0,30,0,0,60,1,1,60,5,5,150,6,6
q2,1,11,1.207,75.388336,12,1.0909091,1.0909091,0,0,0,0,90,1,6,30,3,6,120,4,12
q3,2,2,0.671,76.27833,6,1.5,3,0,30,0,0,34,2,2,34,2,2,98,4,4
q4,2,5,1.256,71.90174,16,1.6,3.2,2,0,0,0,96,4,8,32,2,2,128,6,10
q5,1,6,1.818,95.80398,6,1,1,0,0,0,0,30,2,6,0,0,0,30,2,6
q6,4,14,3815.082,1798.3745,96,1.7142857,6.857143,0,0,0,0,127754,23,77,127646,29,2548,255400,52,2625
q7,2,3,0.482,70.36525,9,1.5,3,0,0,0,0,30,0,0,36,9,9,66,9,9
q8,1,8,0.492,70.175125,10,1.25,1.25,0,16,1,1,30,3,3,30,2,6,76,6,10
q9,1,7,0.754,70.01534,7,1,1,0,0,0,0,60,2,4,12,3,4,72,5,8
q10,2,11,1.585,70.15143,22,1,2,0,0,0,0,144,13,15,0,0,0,144,13,15
q11,1,3,1.704,85.359215,3,1,1,0,0,0,0,90,3,3,0,0,0,90,3,3
q12,2,105,7.813,123.57576,336,1.6,3.2,17,304,90,165,266,40,76,254,34,67,824,164,308
q13,2,31,23.601,220.13431,114,1.8387097,3.6774194,46,30,13,48,492,17,25,492,49,72,1014,79,145
q14,2,12,5.233,105.60371,32,1.3333334,2.6666667,8,10,3,10,224,8,11,112,4,7,346,15,28
q15,2,28,839.629,1510.2567,71,1.2678572,2.5357144,2681,0,0,0,267710,16,1763,133240,22,1011,400950,38,2774
q16,3,51,19.103,159.39091,184,1.2026144,3.6078432,10,254,2,2,528,26,37,578,61,96,1360,89,135
q17,3,55,4.021,71.43093,169,1.0242424,3.0727272,2,4,0,0,362,64,127,94,3,3,460,67,130
q18,2,2,51.573,453.76465,10,2.5,5,185,8690,12,82,9130,2,66,8870,3,49,26690,17,197
q19,2,9,7.197,111.80741,27,1.5,3,19,1210,10,30,980,0,0,1100,6,16,3290,16,46
q20,2,663,8.93,88.28143,2383,1.7971343,3.5942686,5,236,93,643,168,50,351,142,37,234,546,180,1228
q21,2,278,2.311,111.82087,866,1.557554,3.115108,0,46,11,253,36,4,85,40,6,76,122,21,414
q22,2,64,529.597,1137.5874,153,1.1953125,2.390625,1040,0,0,0,52240,17,150,53170,70,1217,105410,87,1367
q23,3,39,3.117,106.939835,192,1.6410257,4.923077,0,478,10,40,414,4,23,412,4,14,1304,18,77
q24,2,242,14.799,163.68835,632,1.3057852,2.6115704,25,30,4,39,870,153,223,294,39,71,1194,196,333
q25,2,14,0.765,80.33579,56,2,4,0,0,0,0,32,4,7,34,8,17,66,12,24
q26,2,4,47.862,268.90192,11,1.375,2.75,91,30,8,16,4630,7,36,4430,5,55,9090,20,107
q27,3,1263,216.698,355.05405,4426,1.1681182,3.5043547,134,3570,401,672,4642,195,314,1762,453,916,9974,1049,1902
q28,2,10,0.556,72.59432,20,1,2,0,0,0,0,38,3,11,0,0,0,38,3,11
q29,2,10,2.787,116.61188,47,2.35,4.7,1,0,0,0,58,7,14,42,5,9,100,12,23
q30,1,53,0.773,77.797775,110,2.0754716,2.0754716,0,30,3,43,30,1,30,30,3,37,90,7,110
