ID,#triplePatterns,#results,time,memory,#quins,avgQuin_Cluster,avgQuin_Bucket,#plugTriples,LinkedMDB#Requests,LinkedMDB#SolvedRequests,LinkedMDB#records,DBpedia#Requests,DBpedia#SolvedRequests,DBpedia#records,Yago#Requests,Yago#SolvedRequests,Yago#records,#SUM_Requests,#SUM_SolvedRequests,#SUM_records  
q1,1,5,0.621,73.22977,5,1,1,0,20,0,0,40,1,1,40,4,4,100,5,5
q2,1,11,0.834,75.33875,12,1.0909091,1.0909091,0,0,0,0,60,1,6,20,3,6,80,4,12
q3,2,2,0.522,76.242714,6,1.5,3,0,20,0,0,24,2,2,24,2,2,68,4,4
q4,2,5,0.923,72.00957,16,1.6,3.2,0,0,0,0,66,4,8,22,2,2,88,6,10
q5,1,6,1.693,95.96338,6,1,1,0,0,0,0,20,2,6,0,0,0,20,2,6
q6,4,12,3.386,91.228676,88,1.8333334,7.3333335,0,0,0,0,204,23,77,184,21,194,388,44,271
q7,2,3,0.374,71.17281,9,1.5,3,0,0,0,0,20,0,0,26,9,9,46,9,9
q8,1,7,0.379,70.12745,9,1.2857143,1.2857143,0,16,1,1,20,2,2,20,2,6,56,5,9
q9,1,7,0.539,69.96831,7,1,1,0,0,0,0,40,2,4,12,3,4,52,5,8
q10,2,11,1.161,70.07102,22,1,2,0,0,0,0,104,13,15,0,0,0,104,13,15
q11,1,2,1.356,85.2957,2,1,1,0,0,0,0,60,2,2,0,0,0,60,2,2
q12,2,71,1.42,77.73861,254,1.7887324,3.5774648,0,140,64,138,86,34,70,74,28,55,300,126,263
q13,2,1,0.556,71.361,7,3.5,7,0,20,9,38,22,3,8,22,4,10,64,16,56
q14,2,3,0.613,70.36679,12,2,4,0,10,3,10,44,3,4,20,1,2,74,7,16
q15,2,9,75.317,822.8515,23,1.2777778,2.5555556,0,0,0,0,420,11,1758,60,5,990,480,16,2748
q16,3,24,1.127,71.4858,101,1.4027778,4.2083335,0,24,0,0,50,12,20,88,35,70,162,47,90
q17,3,52,2.74,70.66738,160,1.0256411,3.0769231,0,0,0,0,248,63,126,0,0,0,248,63,126
q18,2,2,3.753,105.75541,10,2.5,5,0,60,9,76,40,2,66,60,3,49,160,14,191
q19,2,9,0.75,71.80255,27,1.5,3,0,190,10,30,20,0,0,100,5,14,310,15,44
q20,2,469,1.735,76.35032,1987,2.118337,4.236674,0,104,45,422,108,45,344,82,32,220,294,122,986
q21,2,278,2.2,111.745384,866,1.557554,3.115108,0,36,11,253,26,4,85,30,6,76,92,21,414
q22,2,46,13.76,172.92268,114,1.2391304,2.4782608,0,0,0,0,220,11,144,940,54,1081,1160,65,1225
q23,3,28,1.455,100.11958,159,1.8928572,5.678571,0,86,8,28,44,4,23,42,4,14,172,16,65
q24,2,67,2.851,110.32189,252,1.880597,3.761194,0,20,1,19,110,47,82,34,9,22,164,57,123
q25,2,14,0.666,80.28914,56,2,4,0,0,0,0,22,4,7,24,8,17,46,12,24
q26,2,4,1.361,79.625984,11,1.375,2.75,0,20,4,9,120,6,34,20,3,30,160,13,73
q27,3,119,4.165,73.79051,832,2.3305323,6.9915967,0,270,88,176,340,81,164,104,43,70,714,212,410
q28,2,10,0.468,72.62081,20,1,2,0,0,0,0,28,3,11,0,0,0,28,3,11
q29,2,8,0.444,71.033264,41,2.5625,5.125,0,0,0,0,28,6,12,22,5,9,50,11,21
q30,1,49,0.63,77.73594,106,2.1632652,2.1632652,0,20,3,43,20,1,30,20,2,33,60,6,106
