ID,#triplePatterns,#results,time,memory,#quins,avgQuin_Cluster,avgQuin_Bucket,#plugTriples,LinkedMDB#Requests,LinkedMDB#SolvedRequests,LinkedMDB#records,DBpedia#Requests,DBpedia#SolvedRequests,DBpedia#records,Yago#Requests,Yago#SolvedRequests,Yago#records,#SUM_Requests,#SUM_SolvedRequests,#SUM_records  
q1,1,9,1.051,73.43211,9,1,1,0,40,1,1,80,1,1,80,7,7,200,9,9
q2,1,11,1.425,75.48767,12,1.0909091,1.0909091,0,0,0,0,120,1,6,40,3,6,160,4,12
q3,2,2,0.744,76.35984,6,1.5,3,0,40,0,0,44,2,2,44,2,2,128,4,4
q4,2,5,1.51,72.15893,16,1.6,3.2,0,0,0,0,126,4,8,42,2,2,168,6,10
q5,1,6,1.92,96.01555,6,1,1,0,0,0,0,40,2,6,0,0,0,40,2,6
q6,4,12,78.595,729.5165,88,1.8333334,7.3333335,0,0,0,0,364,24,79,344,24,2543,708,48,2622
q7,2,3,0.59,71.25698,9,1.5,3,0,0,0,0,40,0,0,46,9,9,86,9,9
q8,1,8,0.583,70.216774,10,1.25,1.25,0,16,1,1,40,3,3,40,2,6,96,6,10
q9,1,7,0.946,70.05295,7,1,1,0,0,0,0,80,2,4,12,3,4,92,5,8
q10,2,11,1.951,70.222275,22,1,2,0,0,0,0,184,13,15,0,0,0,184,13,15
q11,1,3,1.925,85.41882,3,1,1,0,0,0,0,120,3,3,0,0,0,120,3,3
q12,2,73,1.637,77.97367,258,1.7671233,3.5342467,0,164,68,143,106,34,70,94,28,55,364,130,268
q13,2,7,0.966,71.96014,28,2,4,0,40,17,61,48,10,32,42,4,10,130,31,103
q14,2,4,0.996,70.492584,14,1.75,3.5,0,10,3,10,84,3,4,40,3,6,134,9,20
q15,2,9,115.915,847.1986,23,1.2777778,2.5555556,0,0,0,0,840,11,1758,120,6,995,960,17,2753
q16,3,24,1.338,71.63164,101,1.4027778,4.2083335,0,24,0,0,70,12,20,108,38,73,202,50,93
q17,3,52,2.934,70.71321,160,1.0256411,3.0769231,0,0,0,0,268,63,126,0,0,0,268,63,126
q18,2,2,5.941,118.6663,10,2.5,5,0,120,16,91,80,2,66,120,3,49,320,21,206
q19,2,9,1.28,73.10063,27,1.5,3,0,370,10,30,40,0,0,200,6,16,610,16,46
q20,2,612,2.098,77.81916,2273,1.8570261,3.7140522,0,196,83,606,128,45,344,102,32,220,426,160,1170
q21,2,278,2.353,112.074646,866,1.557554,3.115108,0,56,11,253,46,4,85,50,6,76,152,21,414
q22,2,46,25.677,250.45668,114,1.2391304,2.4782608,0,0,0,0,440,11,144,1880,58,1217,2320,69,1361
q23,3,28,1.81,100.682205,159,1.8928572,5.678571,0,166,8,28,84,4,23,82,4,14,332,16,65
q24,2,67,3.152,110.84757,271,2.022388,4.044776,0,40,9,52,130,47,82,54,9,22,224,65,156
q25,2,14,0.893,80.36205,56,2,4,0,0,0,0,42,4,7,44,8,17,86,12,24
q26,2,4,2.83,84.12819,11,1.375,2.75,0,40,8,16,240,7,36,40,6,57,320,21,109
q27,3,164,5.111,78.801735,968,1.9674797,5.902439,0,578,211,447,360,81,164,124,43,70,1062,335,681
q28,2,10,0.656,72.666695,20,1,2,0,0,0,0,48,3,11,0,0,0,48,3,11
q29,2,8,0.652,71.110596,41,2.5625,5.125,0,0,0,0,48,6,12,42,5,9,90,11,21
q30,1,54,0.83,78.01982,115,2.1296296,2.1296296,0,40,4,48,40,1,30,40,3,37,120,8,115
