ID,#triplePatterns,#results,time,memory,#quins,avgQuin_Cluster,avgQuin_Bucket,#plugTriples,LinkedMDB#Requests,LinkedMDB#SolvedRequests,LinkedMDB#records,DBpedia#Requests,DBpedia#SolvedRequests,DBpedia#records,Yago#Requests,Yago#SolvedRequests,Yago#records,#SUM_Requests,#SUM_SolvedRequests,#SUM_records  
q1,1,3,0.401,73.078026,3,1,1,0,10,0,0,20,1,1,20,2,2,50,3,3
q2,1,10,0.53,75.207245,11,1.1,1.1,0,0,0,0,30,1,6,10,2,5,40,3,11
q3,2,2,0.402,76.132576,6,1.5,3,0,10,0,0,14,2,2,14,2,2,38,4,4
q4,2,5,0.639,71.72441,16,1.6,3.2,2,0,0,0,36,4,8,12,2,2,48,6,10
q5,1,6,1.66,95.72372,6,1,1,0,0,0,0,10,2,6,0,0,0,10,2,6
q6,4,12,16.129,246.64622,88,1.8333334,7.3333335,0,0,0,0,4544,23,77,4524,20,71,9068,43,148
q7,2,2,0.264,70.22041,6,1.5,3,0,0,0,0,10,0,0,14,6,6,24,6,6
q8,1,7,0.271,70.03472,8,1.1428572,1.1428572,0,16,1,1,10,1,1,10,2,6,36,4,8
q9,1,7,0.341,69.876526,7,1,1,0,0,0,0,20,2,4,10,3,4,30,5,8
q10,2,0,0.526,69.88192,0,0,NaN,0,0,0,0,40,0,0,0,0,0,40,0,0
q11,1,1,1.057,85.18647,1,1,1,0,0,0,0,30,1,1,0,0,0,30,1,1
q12,2,66,4.638,108.93694,255,1.9318181,3.8636363,14,190,50,93,216,37,73,204,33,66,610,120,232
q13,2,11,7.702,155.73276,44,2,4,24,10,5,31,250,6,9,252,18,32,512,29,72
q14,2,8,2.489,90.11028,24,1.5,3,6,10,3,10,144,6,8,70,2,3,224,11,21
q15,2,28,791.375,1485.0864,71,1.2678572,2.5357144,2675,0,0,0,266690,15,1762,132880,21,1006,399570,36,2768
q16,3,43,10.509,148.21693,160,1.2403101,3.7209303,8,230,1,1,448,20,31,490,54,89,1168,75,121
q17,3,55,3.821,71.5533,169,1.0242424,3.0727272,2,4,0,0,342,64,127,94,3,3,440,67,130
q18,2,2,39.099,434.70697,10,2.5,5,171,7960,5,67,8390,2,66,8110,3,49,24460,10,182
q19,2,9,3.972,107.6483,18,1,2,12,680,10,30,610,0,0,610,0,0,1900,10,30
q20,2,469,1.721,76.09416,1987,2.118337,4.236674,0,94,44,421,98,45,344,72,32,220,264,121,985
q21,2,278,1.973,111.84387,866,1.557554,3.115108,0,26,11,253,16,4,85,20,6,76,62,21,414
q22,2,57,246.816,817.1282,116,1.0175439,2.0350878,613,0,0,0,30660,6,6,31020,56,836,61680,62,842
q23,3,39,1.977,98.72818,192,1.6410257,4.923077,0,198,9,39,174,4,23,172,3,11,544,16,73
q24,2,138,7.706,135.23933,376,1.3623189,2.7246377,12,10,1,19,430,89,136,144,26,41,584,116,196
q25,2,14,0.555,80.18206,56,2,4,0,0,0,0,12,4,7,14,8,17,26,12,24
q26,2,4,8.531,181.496,11,1.375,2.75,58,10,3,8,2900,6,34,2850,2,29,5760,11,71
q27,3,112,5.898,107.17306,813,2.419643,7.258929,2,264,74,156,390,81,164,114,43,70,768,198,390
q28,2,10,0.36,81.765976,20,1,2,0,0,0,0,18,3,11,0,0,0,18,3,11
q29,2,10,2.587,116.40655,47,2.35,4.7,1,0,0,0,38,7,14,22,5,9,60,12,23
q30,1,44,0.52,77.21907,91,2.0681818,2.0681818,0,10,1,28,10,1,30,10,2,33,30,4,91
